info_I,visibility_V,x,intensity,landauer_energy_j
0.350000,0.936750,0.425000,0.08267495,1.004842609778e-21
0.350000,0.936750,0.450000,0.05454905,1.004842609778e-21
0.350000,0.936750,0.475000,0.03739162,1.004842609778e-21
0.350000,0.936750,0.500000,0.03162515,1.004842609778e-21
0.350000,0.936750,0.525000,0.03739162,1.004842609778e-21
0.350000,0.936750,0.550000,0.05454905,1.004842609778e-21
0.350000,0.936750,0.575000,0.08267495,1.004842609778e-21
0.350000,0.936750,0.600000,0.12107679,1.004842609778e-21
0.350000,0.936750,0.625000,0.16880897,1.004842609778e-21
0.350000,0.936750,0.650000,0.22469617,1.004842609778e-21
0.350000,0.936750,0.675000,0.28736227,1.004842609778e-21
0.350000,0.936750,0.700000,0.35526421,1.004842609778e-21
0.350000,0.936750,0.725000,0.42673003,1.004842609778e-21
0.350000,0.936750,0.750000,0.50000000,1.004842609778e-21
0.350000,0.936750,0.775000,0.57326997,1.004842609778e-21
0.350000,0.936750,0.800000,0.64473579,1.004842609778e-21
0.350000,0.936750,0.825000,0.71263773,1.004842609778e-21
0.350000,0.936750,0.850000,0.77530383,1.004842609778e-21
0.350000,0.936750,0.875000,0.83119103,1.004842609778e-21
0.350000,0.936750,0.900000,0.87892321,1.004842609778e-21
0.350000,0.936750,0.925000,0.91732505,1.004842609778e-21
0.350000,0.936750,0.950000,0.94545095,1.004842609778e-21
0.350000,0.936750,0.975000,0.96260838,1.004842609778e-21
0.350000,0.936750,1.000000,0.96837485,1.004842609778e-21
0.400000,0.916515,0.000000,0.95825757,1.148391554031e-21
0.400000,0.916515,0.025000,0.95261566,1.148391554031e-21
0.400000,0.916515,0.050000,0.93582885,1.148391554031e-21
0.400000,0.916515,0.075000,0.90831048,1.148391554031e-21
0.400000,0.916515,0.100000,0.87073816,1.148391554031e-21
0.400000,0.916515,0.125000,0.82403703,1.148391554031e-21
0.400000,0.916515,0.150000,0.76935704,1.148391554031e-21
0.400000,0.916515,0.175000,0.70804458,1.148391554031e-21
0.400000,0.916515,0.200000,0.64160938,1.148391554031e-21
0.400000,0.916515,0.225000,0.57168728,1.148391554031e-21
0.400000,0.916515,0.250000,0.50000000,1.148391554031e-21
0.400000,0.916515,0.275000,0.42831272,1.148391554031e-21
0.400000,0.916515,0.300000,0.35839062,1.148391554031e-21
0.400000,0.916515,0.325000,0.29195542,1.148391554031e-21
0.400000,0.916515,0.350000,0.23064296,1.148391554031e-21
0.400000,0.916515,0.375000,0.17596297,1.148391554031e-21
0.400000,0.916515,0.400000,0.12926184,1.148391554031e-21
0.400000,0.916515,0.425000,0.09168952,1.148391554031e-21
0.400000,0.916515,0.450000,0.06417115,1.148391554031e-21
0.400000,0.916515,0.475000,0.04738434,1.148391554031e-21
0.400000,0.916515,0.500000,0.04174243,1.148391554031e-21
0.400000,0.916515,0.525000,0.04738434,1.148391554031e-21
0.400000,0.916515,0.550000,0.06417115,1.148391554031e-21
0.400000,0.916515,0.575000,0.09168952,1.148391554031e-21
0.400000,0.916515,0.600000,0.12926184,1.148391554031e-21
0.400000,0.916515,0.625000,0.17596297,1.148391554031e-21
0.400000,0.916515,0.650000,0.23064296,1.148391554031e-21
0.400000,0.916515,0.675000,0.29195542,1.148391554031e-21
0.400000,0.916515,0.700000,0.35839062,1.148391554031e-21
0.400000,0.916515,0.725000,0.42831272,1.148391554031e-21
0.400000,0.916515,0.750000,0.50000000,1.148391554031e-21
0.400000,0.916515,0.775000,0.57168728,1.148391554031e-21
0.400000,0.916515,0.800000,0.64160938,1.148391554031e-21
0.400000,0.916515,0.825000,0.70804458,1.148391554031e-21
0.400000,0.916515,0.850000,0.76935704,1.148391554031e-21
0.400000,0.916515,0.875000,0.82403703,1.148391554031e-21
0.400000,0.916515,0.900000,0.87073816,1.148391554031e-21
0.400000,0.916515,0.925000,0.90831048,1.148391554031e-21
0.400000,0.916515,0.950000,0.93582885,1.148391554031e-21
0.400000,0.916515,0.975000,0.95261566,1.148391554031e-21
0.400000,0.916515,1.000000,0.95825757,1.148391554031e-21
0.450000,0.893029,0.000000,0.94651428,1.291940498285e-21
0.450000,0.893029,0.025000,0.94101695,1.291940498285e-21
0.450000,0.893029,0.050000,0.92466031,1.291940498285e-21
0.450000,0.893029,0.075000,0.89784713,1.291940498285e-21
0.450000,0.893029,0.100000,0.86123764,1.291940498285e-21
0.450000,0.893029,0.125000,0.81573327,1.291940498285e-21
0.450000,0.893029,0.150000,0.76245451,1.291940498285e-21
0.450000,0.893029,0.175000,0.70271324,1.291940498285e-21
0.450000,0.893029,0.200000,0.63798050,1.291940498285e-21
0.450000,0.893029,0.225000,0.56985022,1.291940498285e-21
0.450000,0.893029,0.250000,0.50000000,1.291940498285e-21
0.450000,0.893029,0.275000,0.43014978,1.291940498285e-21
0.450000,0.893029,0.300000,0.36201950,1.291940498285e-21
0.450000,0.893029,0.325000,0.29728676,1.291940498285e-21
0.450000,0.893029,0.350000,0.23754549,1.291940498285e-21
0.450000,0.893029,0.375000,0.18426673,1.291940498285e-21
0.450000,0.893029,0.400000,0.13876236,1.291940498285e-21
0.450000,0.893029,0.425000,0.10215287,1.291940498285e-21
0.450000,0.893029,0.450000,0.07533969,1.291940498285e-21
0.450000,0.893029,0.475000,0.05898305,1.291940498285e-21
0.450000,0.893029,0.500000,0.05348572,1.291940498285e-21
0.450000,0.893029,0.525000,0.05898305,1.291940498285e-21
0.450000,0.893029,0.550000,0.07533969,1.291940498285e-21
0.450000,0.893029,0.575000,0.10215287,1.291940498285e-21
0.450000,0.893029,0.600000,0.13876236,1.291940498285e-21
0.450000,0.893029,0.625000,0.18426673,1.291940498285e-21
0.450000,0.893029,0.650000,0.23754549,1.291940498285e-21
0.450000,0.893029,0.675000,0.29728676,1.291940498285e-21
0.450000,0.893029,0.700000,0.36201950,1.291940498285e-21
0.450000,0.893029,0.725000,0.43014978,1.291940498285e-21
0.450000,0.893029,0.750000,0.50000000,1.291940498285e-21
0.450000,0.893029,0.775000,0.56985022,1.291940498285e-21
0.450000,0.893029,0.800000,0.63798050,1.291940498285e-21
0.450000,0.893029,0.825000,0.70271324,1.291940498285e-21
0.450000,0.893029,0.850000,0.76245451,1.291940498285e-21
0.450000,0.893029,0.875000,0.81573327,1.291940498285e-21
0.450000,0.893029,0.900000,0.86123764,1.291940498285e-21
0.450000,0.893029,0.925000,0.89784713,1.291940498285e-21
0.450000,0.893029,0.950000,0.92466031,1.291940498285e-21
0.450000,0.893029,0.975000,0.94101695,1.291940498285e-21
0.450000,0.893029,1.000000,0.94651428,1.291940498285e-21
0.500000,0.866025,0.000000,0.93301270,1.435489442539e-21
0.500000,0.866025,0.025000,0.92768160,1.435489442539e-21
0.500000,0.866025,0.050000,0.91181955,1.435489442539e-21
0.500000,0.866025,0.075000,0.88581714,1.435489442539e-21
0.500000,0.866025,0.100000,0.85031463,1.435489442539e-21
0.500000,0.866025,0.125000,0.80618622,1.435489442539e-21
0.500000,0.866025,0.150000,0.75451848,1.435489442539e-21
0.500000,0.866025,0.175000,0.69658365,1.435489442539e-21
0.500000,0.866025,0.200000,0.63380828,1.435489442539e-21
0.500000,0.866025,0.225000,0.56773811,1.435489442539e-21
0.500000,0.866025,0.250000,0.50000000,1.435489442539e-21
0.500000,0.866025,0.275000,0.43226189,1.435489442539e-21
0.500000,0.866025,0.300000,0.36619172,1.435489442539e-21
0.500000,0.866025,0.325000,0.30341635,1.435489442539e-21
