x,y,rho
-21.75,-2.75,1.394625137167e-13
-21.75,-2.25,2.8655605867787e-13
-21.75,-1.75,5.0276904415807e-13
-21.75,-1.25,6.5720874888777e-13
-21.75,-0.75,6.5822263127286e-13
-21.75,-0.25,1.0610303942716e-12
-21.75,0.25,1.0610303942255e-12
-21.75,0.75,6.5822263128091e-13
-21.75,1.25,6.5720874888064e-13
-21.75,1.75,5.0276904417112e-13
-21.75,2.25,2.8655605868957e-13
-21.75,2.75,1.3946251371453e-13
-21.75,3.25,5.7418694631952e-14
-21.75,3.75,2.1059683474106e-14
-21.75,4.25,7.3200889292023e-15
-21.75,4.75,2.2575083951701e-15
-21.75,5.25,5.0871944034838e-16
-21.75,5.75,6.3558053905548e-17
-21.75,6.25,1.1118286845928e-17
-21.75,6.75,5.8674427171744e-18
-21.75,7.25,1.2773984295595e-18
-21.75,7.75,8.6354861425439e-20
-21.75,8.25,6.3347639534354e-20
-21.75,8.75,3.9058462670927e-20
-21.75,9.25,1.3613609280345e-20
-21.75,9.75,5.5423212096004e-21
-21.75,10.25,2.4881231590467e-21
-21.75,10.75,1.1065598359783e-21
-21.75,11.25,5.2223803478112e-22
-21.75,11.75,2.6428532347308e-22
-21.75,12.25,1.4338444804558e-22
-21.75,12.75,7.5450751569667e-23
-21.75,13.25,4.1661439689663e-23
-21.75,13.75,2.4037913972848e-23
-21.75,14.25,1.4649619751526e-23
-21.75,14.75,9.4347143188058e-24
-21.75,15.25,6.4517953440372e-24
-21.75,15.75,4.638700411428e-24
-21.75,16.25,3.4583311183902e-24
-21.75,16.75,2.6394862457047e-24
-21.75,17.25,2.0371832309228e-24
-21.75,17.75,1.5748722939158e-24
-21.75,18.25,1.2116206684508e-24
-21.75,18.75,9.2327078845594e-25
-21.75,19.25,6.9393420662791e-25
-21.75,19.75,5.1212300134957e-25
-21.75,20.25,3.689681926074e-25
-21.75,20.75,2.5744716278932e-25
-21.75,21.25,1.7186769832475e-25
-21.75,21.75,1.076531347564e-25
-21.75,22.25,6.1120449870645e-26
-21.75,22.75,2.9319683172092e-26
-21.75,23.25,9.9152562916194e-27
-21.75,23.75,1.0258880121985e-27
-21.25,-23.75,1.1139554909675e-27
-21.25,-23.25,1.078022625199e-26
-21.25,-22.75,3.1925851720626e-26
-21.25,-22.25,6.6613065203227e-26
-21.25,-21.75,1.1743094927754e-25
-21.25,-21.25,1.876092847486e-25
-21.25,-20.75,2.8119689705305e-25
-21.25,-20.25,4.0322393231571e-25
-21.25,-19.75,5.5989319599471e-25
-21.25,-19.25,7.5891866717876e-25
-21.25,-18.75,1.0099921409835e-24
-21.25,-18.25,1.3258392292762e-24
-21.25,-17.75,1.7242871255038e-24
-21.25,-17.25,2.2332978252717e-24
-21.25,-16.75,2.9018053369059e-24
-21.25,-16.25,3.8238198828284e-24
-21.25,-15.75,5.1811942157579e-24
-21.25,-15.25,7.3202845790932e-24
-21.25,-14.75,1.0934632219345e-23
-21.25,-14.25,1.740771091752e-23
-21.25,-13.75,2.9289182289818e-23
-21.25,-13.25,5.1921568473902e-23
-21.25,-12.75,9.5790391415312e-23
-21.25,-12.25,1.8473518336967e-22
-21.25,-11.75,3.4482105321709e-22
-21.25,-11.25,6.8782891601699e-22
-21.25,-10.75,1.4666413881436e-21
-21.25,-10.25,3.3082157096133e-21
-21.25,-9.75,7.3983321291096e-21
-21.25,-9.25,1.8262845491558e-20
-21.25,-8.75,5.2086619884834e-20
-21.25,-8.25,8.4633460806386e-20
-21.25,-7.75,1.2385171540694e-19
-21.25,-7.25,1.6996720844128e-18
-21.25,-6.75,7.4767968849968e-18
-21.25,-6.25,1.3431266099428e-17
-21.25,-5.75,8.0591906880313e-17
-21.25,-5.25,6.5023063588486e-16
-21.25,-4.75,2.8619346904293e-15
-21.25,-4.25,9.2140978554726e-15
-21.25,-3.75,2.6487428583939e-14
-21.25,-3.25,7.2398253409181e-14
-21.25,-2.75,1.7613640856001e-13
-21.25,-2.25,3.6234785614324e-13
-21.25,-1.75,6.342369158351e-13
-21.25,-1.25,8.3494087655211e-13
-21.25,-0.75,8.5730669055714e-13
-21.25,-0.25,1.3444784304156e-12
-21.25,0.25,1.3444784303906e-12
-21.25,0.75,8.5730669060681e-13
-21.25,1.25,8.3494087657223e-13
-21.25,1.75,6.3423691582136e-13
-21.25,2.25,3.623478561604e-13
-21.25,2.75,1.7613640857406e-13
-21.25,3.25,7.2398253425194e-14
-21.25,3.75,2.6487428590079e-14
-21.25,4.25,9.2140978577456e-15
-21.25,4.75,2.8619346906967e-15
-21.25,5.25,6.5023063575224e-16
-21.25,5.75,8.0591906847159e-17
-21.25,6.25,1.343126611942e-17
-21.25,6.75,7.4767968377673e-18
-21.25,7.25,1.6996720879825e-18
-21.25,7.75,1.23851715653e-19
-21.25,8.25,8.4633466554799e-20
-21.25,8.75,5.208661957263e-20
