x,rho
-11.98242188,1.5562543353171e-07
-11.96289062,1.7034439337574e-07
-11.94335938,1.8640317156809e-07
-11.92382812,2.0391864398217e-07
-11.90429688,2.2301740353571e-07
-11.88476562,2.4383652460195e-07
-11.86523438,2.6652438373455e-07
-11.84570312,2.912415405546e-07
-11.82617188,3.1816168286562e-07
-11.80664062,3.4747264028334e-07
-11.78710938,3.7937747099347e-07
-11.76757812,4.1409562643438e-07
-11.74804688,4.5186419908934e-07
-11.72851562,4.9293925875884e-07
-11.70898438,5.375972831286e-07
-11.68945312,5.8613668865624e-07
-11.66992188,6.388794682521e-07
-11.65039062,6.9617294251332e-07
-11.63085938,7.583916317009e-07
-11.61132812,8.259392560495e-07
-11.59179688,8.9925087235973e-07
-11.57226562,9.7879515535037e-07
-11.55273438,1.0650768326065e-06
-11.53320312,1.1586392825118e-06
-11.51367188,1.2600673050279e-06
-11.49414062,1.3699900756256e-06
-11.47460938,1.489084293358e-06
-11.45507812,1.6180775344866e-06
-11.43554688,1.7577518237119e-06
-11.41601562,1.9089474356729e-06
-11.39648438,2.0725669399691e-06
-11.37695312,2.2495795036623e-06
-11.35742188,2.4410254658029e-06
-11.33789062,2.6480211993422e-06
-11.31835938,2.8717642763566e-06
-11.29882812,3.1135389534556e-06
-11.27929688,3.3747219947682e-06
-11.25976562,3.6567888509547e-06
