x,y,rho
-21.75,11.25,1.6041805089433e-23
-21.75,11.75,6.825872757877e-24
-21.75,12.25,7.7730438661966e-24
-21.75,12.75,6.0206974470861e-24
-21.75,13.25,4.4893578786671e-24
-21.75,13.75,3.7737068749654e-24
-21.75,14.25,3.0576144137547e-24
-21.75,14.75,2.4177637441766e-24
-21.75,15.25,1.8932841239342e-24
-21.75,15.75,1.4450126204451e-24
-21.75,16.25,1.0675082352388e-24
-21.75,16.75,7.6213132426051e-25
-21.75,17.25,5.2532672697884e-25
-21.75,17.75,3.5047988340311e-25
-21.75,18.25,2.2783378069745e-25
-21.75,18.75,1.4559118652714e-25
-21.75,19.25,9.2188839238924e-26
-21.75,19.75,5.8058056308813e-26
-21.75,20.25,3.6277528580711e-26
-21.75,20.75,2.2305281809118e-26
-21.75,21.25,1.3311668552383e-26
-21.75,21.75,7.5501947366108e-27
-21.75,22.25,3.9275910460566e-27
-21.75,22.75,1.7465124957734e-27
-21.75,23.25,5.5530209930745e-28
-21.75,23.75,5.5578532427688e-29
-21.25,-23.75,6.2917236090009e-29
-21.25,-23.25,6.2875665039781e-28
-21.25,-22.75,1.9785852683136e-27
-21.25,-22.25,4.4524386361535e-27
-21.25,-21.75,8.5656898091632e-27
-21.25,-21.25,1.5115079314921e-26
-21.25,-20.75,2.5351429957258e-26
-21.25,-20.25,4.1275612483703e-26
-21.25,-19.75,6.6134097305619e-26
-21.25,-19.25,1.0514522155899e-25
-21.25,-18.75,1.6627332563118e-25
-21.25,-18.25,2.6054877441546e-25
-21.25,-17.75,4.0133459214866e-25
-21.25,-17.25,6.02317890516e-25
-21.25,-16.75,8.7490408059117e-25
-21.25,-16.25,1.2269513799248e-24
-21.25,-15.75,1.6628617673569e-24
-21.25,-15.25,2.1814038454907e-24
-21.25,-14.75,2.7891676182863e-24
-21.25,-14.25,3.5320154154503e-24
-21.25,-13.75,4.3656274682097e-24
-21.25,-13.25,5.1990667841203e-24
-21.25,-12.75,6.9798494059714e-24
-21.25,-12.25,9.0410529791907e-24
-21.25,-11.75,7.9373673445186e-24
-21.25,-11.25,1.8621113893081e-23
-21.25,-10.75,2.292025799745e-23
-21.25,-10.25,1.6751566413507e-23
-21.25,-9.75,9.6011340355747e-23
-21.25,-9.25,1.061594439967e-23
-21.25,-8.75,3.9323215813674e-22
-21.25,-8.25,2.6446811742008e-23
-21.25,-7.75,2.4356772236503e-21
-21.25,-7.25,7.7529058236391e-22
-21.25,-6.75,2.5640005944507e-20
-21.25,-6.25,8.1561671427356e-20
-21.25,-5.75,2.0440066363622e-17
-21.25,-5.25,1.3964478355838e-16
-21.25,-4.75,5.6799546208125e-16
-21.25,-4.25,2.0473130992765e-15
-21.25,-3.75,6.4676345446871e-15
-21.25,-3.25,1.7700846542789e-14
-21.25,-2.75,4.1934126308704e-14
-21.25,-2.25,8.6008922330549e-14
-21.25,-1.75,1.5288643408529e-13
-21.25,-1.25,2.3413884928953e-13
-21.25,-0.75,3.0799021825763e-13
-21.25,-0.25,3.6114635999897e-13
-21.25,0.25,3.6114635999886e-13
-21.25,0.75,3.0799021825792e-13
-21.25,1.25,2.341388492897e-13
-21.25,1.75,1.528864340853e-13
-21.25,2.25,8.6008922330484e-14
-21.25,2.75,4.1934126308686e-14
-21.25,3.25,1.7700846542805e-14
-21.25,3.75,6.4676345446705e-15
-21.25,4.25,2.0473130992785e-15
-21.25,4.75,5.6799546208069e-16
-21.25,5.25,1.3964478356039e-16
-21.25,5.75,2.044006636375e-17
-21.25,6.25,8.1561671462189e-20
-21.25,6.75,2.564000593236e-20
-21.25,7.25,7.7529058693337e-22
-21.25,7.75,2.4356772267959e-21
-21.25,8.25,2.6446812330042e-23
-21.25,8.75,3.9323215570449e-22
-21.25,9.25,1.0615944388505e-23
-21.25,9.75,9.6011339787127e-23
-21.25,10.25,1.675156668757e-23
-21.25,10.75,2.2920258031277e-23
-21.25,11.25,1.8621113716529e-23
-21.25,11.75,7.9373674848976e-24
-21.25,12.25,9.0410528095024e-24
-21.25,12.75,6.9798496264816e-24
-21.25,13.25,5.1990665378193e-24
-21.25,13.75,4.3656276580601e-24
-21.25,14.25,3.5320153788602e-24
-21.25,14.75,2.7891676112963e-24
-21.25,15.25,2.1814036749663e-24
-21.25,15.75,1.6628620262612e-24
-21.25,16.25,1.2269513886082e-24
-21.25,16.75,8.7490419323133e-25
-21.25,17.25,6.0231779592058e-25
-21.25,17.75,4.0133459003431e-25
-21.25,18.25,2.6054874450421e-25
-21.25,18.75,1.6627334313816e-25
-21.25,19.25,1.0514521168623e-25
-21.25,19.75,6.6134098687696e-26
-21.25,20.25,4.1275608837754e-26
-21.25,20.75,2.5351428555658e-26
-21.25,21.25,1.5115077811628e-26
-21.25,21.75,8.565687996923e-27
-21.25,22.25,4.4524379939872e-27
-21.25,22.75,1.9785843831144e-27
-21.25,23.25,6.287562177364e-28
-21.25,23.75,6.2917288667334e-29
-20.75,-23.75,7.2234105091553e-29
-20.75,-23.25,7.2199235795722e-28
-20.75,-22.75,2.2729611962342e-27
-20.75,-22.25,5.1176714522019e-27
-20.75,-21.75,9.8516520495762e-27
-20.75,-21.25,1.7396581373888e-26
-20.75,-20.75,2.9200951239879e-26
-20.75,-20.25,4.7584499075079e-26
-20.75,-19.75,7.6315219005254e-26
-20.75,-19.25,1.2145671628821e-25
-20.75,-18.75,1.9227457730478e-25
-20.75,-18.25,3.0161985157978e-25
-20.75,-17.75,4.6509211280899e-25
-20.75,-17.25,6.9871955162554e-25
-20.75,-16.75,1.0159387474135e-24
-20.75,-16.25,1.4261238169741e-24
-20.75,-15.75,1.9346914905851e-24
-20.75,-15.25,2.5405236059772e-24
-20.75,-14.75,3.2515979539747e-24
-20.75,-14.25,4.1220131068213e-24
-20.75,-13.75,5.1008730396283e-24
-20.75,-13.25,6.0798601893148e-24
-20.75,-12.75,8.1691478788018e-24
-20.75,-12.25,1.0609331710327e-23
-20.75,-11.75,9.3128860946322e-24
-20.75,-11.25,2.1816160441618e-23
-20.75,-10.75,2.7091053761123e-23
-20.75,-10.25,1.9506157438865e-23
-20.75,-9.75,1.1318418832993e-22
-20.75,-9.25,1.2318446886851e-23
-20.75,-8.75,4.6311802062672e-22
-20.75,-8.25,2.9954758524379e-23
-20.75,-7.75,2.8709438307333e-21
-20.75,-7.25,8.9509336083013e-22
-20.75,-6.75,3.0154661943763e-20
-20.75,-6.25,9.5602491273321e-20
-20.75,-5.75,2.3998361327693e-17
-20.75,-5.25,1.6398073398097e-16
-20.75,-4.75,6.6696766380658e-16
-20.75,-4.25,2.4039941861206e-15
-20.75,-3.75,7.5943613322765e-15
-20.75,-3.25,2.0785038490625e-14
-20.75,-2.75,4.9239401622772e-14
-20.75,-2.25,1.0099475140565e-13
-20.75,-1.75,1.7952094677586e-13
-20.75,-1.25,2.7506474882115e-13
-20.75,-0.75,3.6233301622699e-13
-20.75,-0.25,4.2417836741917e-13
-20.75,0.25,4.2417836741886e-13
-20.75,0.75,3.6233301622687e-13
-20.75,1.25,2.7506474882145e-13
-20.75,1.75,1.7952094677581e-13
-20.75,2.25,1.0099475140559e-13
-20.75,2.75,4.923940162275e-14
-20.75,3.25,2.0785038490624e-14
-20.75,3.75,7.5943613322589e-15
-20.75,4.25,2.4039941861139e-15
-20.75,4.75,6.6696766380456e-16
-20.75,5.25,1.6398073398136e-16
-20.75,5.75,2.3998361327389e-17
-20.75,6.25,9.5602491271727e-20
-20.75,6.75,3.0154661958312e-20
-20.75,7.25,8.9509336464666e-22
-20.75,7.75,2.8709438356997e-21
-20.75,8.25,2.9954758895695e-23
-20.75,8.75,4.6311802099686e-22
-20.75,9.25,1.2318447168556e-23
-20.75,9.75,1.1318418830355e-22
-20.75,10.25,1.9506157994859e-23
-20.75,10.75,2.7091053540859e-23
-20.75,11.25,2.181616057955e-23
-20.75,11.75,9.3128861480564e-24
-20.75,12.25,1.0609332015603e-23
-20.75,12.75,8.1691476138797e-24
-20.75,13.25,6.0798604900098e-24
-20.75,13.75,5.1008728180982e-24
-20.75,14.25,4.1220134587574e-24
-20.75,14.75,3.2515976160651e-24
-20.75,15.25,2.5405238462767e-24
-20.75,15.75,1.9346915461361e-24
-20.75,16.25,1.4261239798612e-24
-20.75,16.75,1.0159385642577e-24
-20.75,17.25,6.9871960212345e-25
-20.75,17.75,4.6509203666862e-25
-20.75,18.25,3.0161988542978e-25
-20.75,18.75,1.9227457079252e-25
-20.75,19.25,1.2145671249123e-25
-20.75,19.75,7.6315222935493e-26
-20.75,20.25,4.7584492865674e-26
-20.75,20.75,2.9200957822987e-26
-20.75,21.25,1.7396568015149e-26
-20.75,21.75,9.8516502158388e-27
-20.75,22.25,5.117668784918e-27
-20.75,22.75,2.2729609154573e-27
-20.75,23.25,7.2199101299743e-28
-20.75,23.75,7.2233835615645e-29
-20.25,-23.75,8.3967295852655e-29
-20.25,-23.25,8.393926427046e-28
-20.25,-22.75,2.6435642876064e-27
-20.25,-22.25,5.9549040085448e-27
-20.25,-21.75,1.1469581422691e-26
-20.25,-21.25,2.026593641487e-26
-20.25,-20.75,3.4040358572977e-26
-20.25,-20.25,5.5511948561119e-26
-20.25,-19.75,8.9101760742073e-26
-20.25,-19.25,1.4193082366955e-25
-20.25,-18.75,2.2489164578492e-25
-20.25,-18.25,3.5310971512033e-25
