x,rho
-5.94,8.69307997288e-09
-5.928,9.33466886307e-09
-5.916,1.00221666392e-08
-5.904,1.0758749212e-08
-5.892,1.154780417e-08
-5.88,1.23929443142e-08
-5.868,1.32980220183e-08
-5.856,1.42671444628e-08
-5.844,1.53046897914e-08
-5.832,1.64153242452e-08
-5.82,1.7604020329e-08
-5.808,1.88760760681e-08
-5.796,2.02371354194e-08
-5.784,2.16932098999e-08
-5.772,2.32507015028e-08
-5.76,2.4916426973e-08
-5.748,2.66976435176e-08
-5.736,2.86020760325e-08
-5.724,3.06379459286e-08
-5.712,3.28140016456e-08
-5.7,3.51395509482e-08
-5.688,3.76244951012e-08
-5.676,4.02793650267e-08
-5.664,4.3115359552e-08
-5.652,4.61443858614e-08
-5.64,4.93791022711e-08
-5.628,5.28329634533e-08
-5.616,5.65202682403e-08
-5.604,6.04562101468e-08
-5.592,6.4656930756e-08
-5.58,6.91395761211e-08
-5.568,7.39223563417e-08
-5.556,7.90246084827e-08
-5.544,8.44668630116e-08
-5.532,9.02709139371e-08
-5.52,9.64598928427e-08
-5.508,1.03058347018e-07
-5.496,1.10092321895e-07
-5.484,1.17589448023e-07
-5.472,1.25579032794e-07
-5.46,1.34092157184e-07
-5.448,1.4316177775e-07
-5.436,1.52822834153e-07
-5.424,1.63112362489e-07
-5.412,1.7406961471e-07
-5.4,1.85736184456e-07
-5.388,1.98156139596e-07
-5.376,2.11376161831e-07
-5.364,2.25445693692e-07
-5.352,2.40417093307e-07
-5.34,2.56345797307e-07
-5.328,2.73290492279e-07
-5.316,2.9131329517e-07
-5.304,3.10479943083e-07
-5.292,3.30859992907e-07
-5.28,3.52527031261e-07
-5.268,3.75558895236e-07
-5.256,4.00037904449e-07
-5.244,4.26051104948e-07
-5.232,4.53690525514e-07
-5.22,4.8305344695e-07
-5.208,5.14242684953e-07
-5.196,5.47366887207e-07
-5.184,5.82540845343e-07
-5.172,6.1988582245e-07
-5.16,6.59529896858e-07
-5.148,7.01608322908e-07
-5.136,7.46263909509e-07
-5.124,7.93647417248e-07
-5.112,8.43917974905e-07
-5.1,8.97243516238e-07
-5.088,9.53801237916e-07
-5.076,1.01377807955e-06
-5.064,1.0773712268e-06
-5.052,1.14478863849e-06
-5.04,1.21624959893e-06
-5.028,1.29198529635e-06
-5.016,1.37223942865e-06
-5.004,1.45726883772e-06
