x,V,rho
-23.05761719,0,1.6929261640508e-07
-23.04394531,0,1.7727158518704e-07
-23.03027344,0,1.8561282715462e-07
-23.01660156,0,1.9433192355514e-07
-23.00292969,0,2.0344535946521e-07
-22.98925781,0,2.1297038081586e-07
-22.97558594,0,2.2292444202035e-07
-22.96191406,0,2.3332656626121e-07
-22.94824219,0,2.4419560900336e-07
-22.93457031,0,2.5555204307745e-07
-22.92089844,0,2.6741660681344e-07
-22.90722656,0,2.7981115860945e-07
-22.89355469,0,2.9275807693561e-07
-22.87988281,0,3.0628134432555e-07
-22.86621094,0,3.2040553288003e-07
-22.85253906,0,3.3515548783748e-07
-22.83886719,0,3.5055854120444e-07
-22.82519531,0,3.6664225444715e-07
-22.81152344,0,3.8343493269949e-07
-22.79785156,0,4.0096717062995e-07
-22.78417969,0,4.1926918279285e-07
-22.77050781,0,4.3837428949715e-07
-22.75683594,0,4.5831558347523e-07
-22.74316406,0,4.791280759789e-07
-22.72949219,0,5.0084853529062e-07
-22.71582031,0,5.2351425555708e-07
-22.70214844,0,5.4716462964737e-07
-22.68847656,0,5.7184093983499e-07
-22.67480469,0,5.9758551559509e-07
-22.66113281,0,6.2444261827465e-07
-22.64746094,0,6.5245788016397e-07
-22.63378906,0,6.8167873085797e-07
-22.62011719,0,7.1215555539532e-07
-22.60644531,0,7.4393892095064e-07
-22.59277344,0,7.7708299486146e-07
-22.57910156,0,8.1164271703962e-07
-22.56542969,0,8.4767666388588e-07
-22.55175781,0,8.8524354305864e-07
-22.53808594,0,9.2440658371558e-07
-22.52441406,0,9.6523042344558e-07
-22.51074219,0,1.0077811188962e-06
-22.49707031,0,1.0521293631257e-06
-22.48339844,0,1.0983471334612e-06
-22.46972656,0,1.1465091761753e-06
-22.45605469,0,1.1966940056166e-06
-22.44238281,0,1.2489817342398e-06
-22.42871094,0,1.3034570853371e-06
-22.41503906,0,1.3602066830365e-06
-22.40136719,0,1.4193210471476e-06
-22.38769531,0,1.4808934273054e-06
-22.37402344,0,1.545022290424e-06
-22.36035156,0,1.6118071585093e-06
-22.34667969,0,1.6813531304591e-06
-22.33300781,0,1.7537685588581e-06
-22.31933594,0,1.8291667828562e-06
-22.30566406,0,1.9076637808905e-06
-22.29199219,0,1.9893811578845e-06
-22.27832031,0,2.0744433200878e-06
-22.26464844,0,2.1629810253523e-06
-22.25097656,0,2.2551292196979e-06
-22.23730469,0,2.3510277263546e-06
-22.22363281,0,2.450820475141e-06
-22.20996094,0,2.5546585886739e-06
-22.19628906,0,2.6626974178473e-06
-22.18261719,0,2.7750966187459e-06
-22.16894531,0,2.8920258494703e-06
-22.15527344,0,3.0136563600284e-06
-22.14160156,0,3.140167672664e-06
-22.12792969,0,3.2717444608359e-06
-22.11425781,0,3.4085809460376e-06
-22.10058594,0,3.5508744430797e-06
-22.08691406,0,3.6988315779344e-06
-22.07324219,0,3.8526660019555e-06
-22.05957031,0,4.012598271484e-06
-22.04589844,0,4.1788581536188e-06
-22.03222656,0,4.3516810961893e-06
-22.01855469,0,4.5313130354823e-06
-22.00488281,0,4.7180074687095e-06
-21.99121094,0,4.9120267327175e-06
-21.97753906,0,5.1136412884358e-06
-21.96386719,0,5.3231353395047e-06
-21.95019531,0,5.5407963847827e-06
-21.93652344,0,5.7669270141532e-06
-21.92285156,0,6.0018387380635e-06
-21.90917969,0,6.2458508637158e-06
-21.89550781,0,6.4992998248888e-06
-21.88183594,0,6.762526194286e-06
-21.86816406,0,7.0358889300737e-06
-21.85449219,0,7.3197558885432e-06
-21.84082031,0,7.6145037825688e-06
-21.82714844,0,7.9205294058152e-06
-21.81347656,0,8.2382393717166e-06
-21.79980469,0,8.568052629761e-06
-21.78613281,0,8.9104047614788e-06
-21.77246094,0,9.2657424890723e-06
-21.75878906,0,9.6345314925007e-06
-21.74511719,0,1.0017249549041e-05
-21.73144531,0,1.0414393415351e-05
-21.71777344,0,1.0826471625227e-05
-21.70410156,0,1.1254014965355e-05
-21.69042969,0,1.1697568173238e-05
-21.67675781,0,1.2157693955927e-05
-21.66308594,0,1.2634975207427e-05
-21.64941406,0,1.3130013141522e-05
-21.63574219,0,1.3643424632048e-05
-21.62207031,0,1.4175854194862e-05
-21.60839844,0,1.4727959482534e-05
-21.59472656,0,1.5300424705241e-05
-21.58105469,0,1.5893955329305e-05
-21.56738281,0,1.6509272804652e-05
-21.55371094,0,1.7147132346252e-05
-21.54003906,0,1.7808305036187e-05
-21.52636719,0,1.849359135766e-05
-21.51269531,0,1.9203810345766e-05
-21.49902344,0,1.9939816823985e-05
-21.48535156,0,2.0702484270857e-05
-21.47167969,0,2.1492713910162e-05
-21.45800781,0,2.2311440346443e-05
-21.44433594,0,2.3159625793369e-05
-21.43066406,0,2.4038258399828e-05
-21.41699219,0,2.4948360291192e-05
-21.40332031,0,2.5890984695617e-05
-21.38964844,0,2.686721576869e-05
-21.37597656,0,2.7878171842987e-05
-21.36230469,0,2.8925008792943e-05
-21.34863281,0,3.0008910634422e-05
-21.33496094,0,3.113110370682e-05
-21.32128906,0,3.2292846159083e-05
-21.30761719,0,3.3495440638808e-05
-21.29394531,0,3.4740225371065e-05
-21.28027344,0,3.6028576945333e-05
-21.26660156,0,3.736191181504e-05
-21.25292969,0,3.8741698722331e-05
-21.23925781,0,4.0169438776798e-05
-21.22558594,0,4.1646683314375e-05
-21.21191406,0,4.3175024691876e-05
-21.19824219,0,4.4756111286634e-05
-21.18457031,0,4.6391627929831e-05
-21.17089844,0,4.8083320984195e-05
-21.15722656,0,4.9832976090411e-05
-21.14355469,0,5.1642440516673e-05
-21.12988281,0,5.3513609386676e-05
-21.11621094,0,5.5448426832872e-05
-21.10253906,0,5.7448910881548e-05
-21.08886719,0,5.9517118824589e-05
-21.07519531,0,6.1655177030547e-05
-21.06152344,0,6.3865270421188e-05
-21.04785156,0,6.6149642302265e-05
-21.03417969,0,6.8510600153976e-05
-21.02050781,0,7.0950528703885e-05
-21.00683594,0,7.3471852887226e-05
-20.99316406,0,7.6077096162066e-05
-20.97949219,0,7.8768833934507e-05
-20.96582031,0,8.1549708898169e-05
-20.95214844,0,8.4422456774908e-05
-20.93847656,0,8.7389866836216e-05
-20.92480469,0,9.0454826881564e-05
-20.91113281,0,9.362028338655e-05
-20.89746094,0,9.6889272546379e-05
-20.88378906,0,0.00010026491311529
-20.87011719,0,0.00010375041166698
-20.85644531,0,0.00010734905414289
-20.84277344,0,0.00011106421161935
-20.82910156,0,0.00011489936154964
-20.81542969,0,0.00011885806060852
-20.80175781,0,0.00012294395816435
-20.78808594,0,0.00012716082162276
-20.77441406,0,0.00013151248737941
-20.76074219,0,0.00013600290433393
-20.74707031,0,0.0001406361389504
-20.73339844,0,0.00014541634810574
-20.71972656,0,0.00015034780182505
-20.70605469,0,0.00015543487318849
-20.69238281,0,0.00016068206315374
-20.67871094,0,0.00016609397587934
-20.66503906,0,0.00017167533415132
